Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
University Annual Fund,Wichita,College of Arts and Sciences,Endowment,8310,2015-06-01,Art Education,2214,KS
Diversity Fund,Denver,College of Social Science,Endowment,280.5,2015-03-25,Sociology,2215,CO
Faculty Chair Endowments,Spokane,College of Natural Science,Endowment,5618,2015-02-17,Preoptometry,2216,WA
Diversity Fund,Kansas City,College of Engineering,Endowment,4222,2015-01-31,Applied Engineering Sciences,2217,MO
College of Music,Kansas City,College of Natural Science,Scholarship,6502,2015-01-04,Neuroscience,2218,MO
College of Music,Colorado Springs,College of Arts and Sciences,Scholarship,2768,2015-10-16,Spanish,2219,CO
Diversity Fund,Pittsburgh,College of Social Science,Endowment,2162,2015-11-23,History Education,2220,PA
Trustees Fund,Portland,College of Communication Arts and Sciences,Endowment,8641,2015-01-24,Journalism,2221,OR
College of Natural Science,Phoenix,College of Arts and Sciences,Scholarship,3721,2015-11-22,Theatre,2222,AZ
College of Arts and Sciences,New Orleans,College of Natural Science,Scholarship,2529,2015-07-15,Environmental Biology/Microbiology,2223,LA
Alumni Association,Raleigh,College of Natural Science,Campus Resource,7856,2015-06-08,Astrophysics,2224,NC
College of Arts and Sciences,Providence,College of Natural Science,Scholarship,2229,2015-04-26,Genomics & Molecular Genetics,2225,RI
University Annual Fund,Memphis,College of Arts and Sciences,Endowment,218,2015-08-13,Chinese,2226,TN
Alumni Association,San Diego,College of Engineering,Campus Resource,2390,2015-03-17,Electrical Engineering,2227,CA
College of Music,Spokane,College of Agriculture and Natural Resources,Scholarship,669,2015-07-12,Food Science,2228,WA
College of Music,Chicago,College of Political Science,Scholarship,9380,2015-08-21,Social Relations and Policy,2229,IL
University Annual Fund,Cincinnati,College of Veterinary Medicine,Endowment,8154,2015-11-17,Preveterinary,2230,OH
University Annual Fund,Tallahassee,College of Business,Endowment,6119,2015-07-09,Finance,2231,FL
Diversity Fund,Memphis,College of Social Science,Endowment,4804,2015-10-30,Public Policy,2232,TN
Diversity Fund,Boston,College of Communication Arts and Sciences,Endowment,4547,2015-10-07,Media and Information,2233,MA
Alumni Association,Lansing,College of Agriculture and Natural Resources,Campus Resource,1599,2015-03-16,Interior Design,2234,MI
Faculty Chair Endowments,Denver,College of Business,Endowment,12567,2015-01-06,Supply Chain Management,2235,CO
Diversity Fund,Cincinnati,College of Music,Endowment,5854,2011-09-05,Jazz Studies,2236,OH
College of Natural Science,Phoenix,College of Arts and Sciences,Scholarship,2368,2011-02-27,Art History and Visual Culture,2237,AZ
Trustees Fund,Tucson,College of Natural Science,Endowment,5620,2011-11-24,Plant Biology,2238,AZ
Faculty Chair Endowments,Hartford,College of Political Science,Endowment,8038,2011-11-13,Political Theory and Constitutional Democracy,2239,CT
Campus Museums,Overland Park,College of Natural Science,Campus Resource,5819,2011-08-18,Plant Biology,2240,KS
College of Education,San Diego,College of Agriculture and Natural Resources,Scholarship,3219,2011-03-26,Natural Resource Recreation and Tourism,2241,CA
College of Education,Albuquerque,College of Natural Science,Scholarship,1144,2011-04-19,Environmental Biology/Plant Biol,2242,NM
Trustees Fund,Phoenix,College of Arts and Sciences,Endowment,1942,2011-02-10,English,2243,AZ
College of Natural Science,Las Vegas,College of Music,Scholarship,3158,2011-04-16,Composition,2244,NV
College of Communication Arts and Sciences,Charlotte,College of Business,Scholarship,3620,2011-03-08,General Management,2245,NC
College of Communication Arts and Sciences,Seattle,College of Arts and Sciences,Scholarship,8692,2011-03-18,Apparel and Textile Design,2246,WA
College of Communication Arts and Sciences,El Paso,College of Communication Arts and Sciences,Scholarship,4574,2011-05-18,Media and Information,2247,TX
University Libraries,Little Rock,College of Engineering,Campus Resource,4976,2011-11-20,Applied Engineering Sciences,2248,AR
College of Communication Arts and Sciences,Sacramento,College of Arts and Sciences,Scholarship,5669,2011-06-01,Studio Art,2249,CA
College of Communication Arts and Sciences,Denver,College of Education,Scholarship,14565,2011-04-29,Education,2250,CO
College of Arts and Sciences,New Orleans,College of Engineering,Scholarship,7404,2011-01-08,Mechanical Engineering,2251,LA
Faculty Chair Endowments,Jacksonville,College of Natural Science,Endowment,5685,2011-06-11,Environmental Biology/Microbiology,2252,FL
Trustees Fund,Syracuse,College of Natural Science,Endowment,1707,2011-02-02,Physical Science Interdepartmental,2253,NY
Trustees Fund,Houston,College of Social Science,Endowment,8939,2011-04-21,Public Policy,2254,TX
Trustees Fund,New York,College of Arts and Sciences,Endowment,796,2011-10-30,Russian,2255,NY
Athletics,Provo,College of Arts and Sciences,Campus Resource,5433,2011-09-16,Art Education,2256,UT
University Annual Fund,Omaha,College of Social Science,Endowment,6885,2011-09-03,Political Science,2257,NE
University Libraries,San Francisco,College of Natural Science,Campus Resource,9223,2011-02-16,Biochemistry and Molecular Biology/Biotechnology,2258,CA
Diversity Fund,Springfield,College of Social Science,Endowment,4604,2011-09-23,Interdisciplinary Studies in Social Science,2259,IL
University Annual Fund,Orlando,College of Social Science,Endowment,9776,2011-02-20,Geography,2260,FL
College of Social Science,Hartford,College of Arts and Sciences,Scholarship,8281,2011-11-21,Studio Art,2261,CT
College of Social Science,Lansing,College of Natural Science,Scholarship,3714,2011-12-29,Environmental Biology/Plant Biol,2262,MI
Faculty Chair Endowments,Chicago,College of Agriculture and Natural Resources,Endowment,4452,2011-02-01,Fisheries and Wildlife,2263,IL
Parents Association,Indianapolis,College of Arts and Sciences,Campus Resource,7424,2011-05-18,Linguistics,2264,IN
University Annual Fund,Lansing,College of Natural Science,Endowment,2107,2011-01-24,Predental,2265,MI
Trustees Fund,Durham,College of Agriculture and Natural Resources,Endowment,8985,2011-12-25,Entomology,2266,NC
University Annual Fund,Sacramento,College of Social Science,Endowment,8479,2011-05-11,Geography,2267,CA
College of Agriculture and Natural Resources,Atlanta,College of Natural Science,Scholarship,7128,2011-06-09,Geological Sciences,2268,GA
In-State Scholarship Fund,Denver,College of Social Science,Scholarship,1470,2011-10-22,Interdisciplinary Studies in Social Science,2269,CO
Athletics,Houston,College of Engineering,Campus Resource,9769,2011-05-22,Materials Science and Engineering,2270,TX
College of Social Science,New York,College of Music,Scholarship,8902,2011-10-29,Music Performance,2271,NY
College of Social Science,San Francisco,College of Natural Science,Scholarship,7426,2011-05-02,Human Biology,2272,CA
Minority Scholarship Fund,Seattle,College of Social Science,Scholarship,4517,2011-10-09,Human Development and Family Studies,2273,WA
College of Natural Science,Cincinnati,College of Engineering,Scholarship,6663,2011-07-29,Engineering-No Major,2274,OH
College of Music,St. Louis,College of Education,Scholarship,8339,2011-03-18,Education,2275,MO
Campus Museums,Baton Rouge,College of Political Science,Campus Resource,4083,2011-04-06,Political Theory and Constitutional Democracy,2276,LA
University Annual Fund,New York,College of Arts and Sciences,Endowment,8843,2011-07-28,Women's and Gender Studies,2277,NY
Faculty Chair Endowments,Washington,College of Music,Endowment,2233,2011-02-17,Music,2278,DC
Trustees Fund,Colorado Springs,College of Engineering,Endowment,2338,2011-03-22,Computer Science,2279,CO
Athletics,New York,College of Agriculture and Natural Resources,Campus Resource,9596,2011-10-28,Environmental Economics and Policy,2280,NY
Alumni Association,St. Paul,College of Agriculture and Natural Resources,Campus Resource,3784,2011-07-01,Agribusiness Management,2281,MN
College of Agriculture and Natural Resources,Orlando,College of Natural Science,Scholarship,8437,2011-07-22,Computational Mathematics,2282,FL
College of Agriculture and Natural Resources,Cincinnati,College of Social Science,Scholarship,6943,2011-10-13,Geography,2283,OH
Diversity Fund,Austin,College of Natural Science,Endowment,7108,2011-01-08,Environmental Biology/Plant Biol,2284,TX
College of Engineering,Oklahoma City,College of Agriculture and Natural Resources,Scholarship,659,2011-02-12,Food Science,2285,OK
College of Natural Science,Washington,College of Natural Science,Scholarship,9249,2011-11-28,Biomedical Laboratory Science,2286,DC
College of Natural Science,Louisville,College of Social Science,Scholarship,3556,2011-07-24,Psychology,2287,KY
Trustees Fund,New York,College of Business,Endowment,7510,2011-01-12,Supply Chain Management,2288,NY
Trustees Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,8709,2011-09-19,Food Industry Management,2289,CA
In-State Scholarship Fund,San Francisco,College of Natural Science,Scholarship,6754,2011-05-27,Statistics,2290,CA
Trustees Fund,Houston,College of Arts and Sciences,Endowment,2611,2011-09-26,Art History and Visual Culture,2291,TX
Athletics,Alexandria,College of Natural Science,Campus Resource,3328,2011-10-02,Geological Sciences,2292,VA
College of Natural Science,Fort Lauderdale,College of Agriculture and Natural Resources,Scholarship,4189,2011-12-03,Packaging,2293,FL
University Annual Fund,Cincinnati,College of Social Science,Endowment,6778,2011-01-11,Criminal Justice,2294,OH
Honors Program,Washington,College of Natural Science,Campus Resource,2850,2011-08-02,Environmental Biology/Microbiology,2295,DC
Campus Recreation,Indianapolis,College of Engineering,Campus Resource,6331,2011-12-12,Engineering-No Major,2296,IN
College of Social Science,Phoenix,College of Natural Science,Scholarship,3132,2011-11-06,Preoptometry,2297,AZ
College of Agriculture and Natural Resources,Detroit,College of Nursing,Scholarship,1429,2011-07-24,Nursing,2298,MI
Trustees Fund,Rochester,College of Social Science,Endowment,4164,2011-07-07,Geography,2299,NY
College of Social Science,Louisville,College of Agriculture and Natural Resources,Scholarship,7477,2011-09-04,Landscape Architecture,2300,KY
College of Social Science,Columbia,College of Natural Science,Scholarship,6691,2011-03-16,Chemical Physics,2301,SC
Trustees Fund,Tulsa,College of Social Science,Endowment,555,2011-02-22,Political Science,2302,OK
College of Arts and Sciences,Phoenix,College of Veterinary Medicine,Scholarship,9077,2011-04-05,Preveterinary,2303,AZ
College of Arts and Sciences,Denver,College of Engineering,Scholarship,12022.5,2011-05-01,Materials Science and Engineering,2304,CO
University Annual Fund,Colorado Springs,College of Natural Science,Endowment,6798,2011-11-17,Environmental Geosciences,2305,CO
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,2331,2011-04-12,Global & Area Studies - Soc Sci,2306,MO
Honors Program,Kansas City,College of Natural Science,Campus Resource,1006,2011-02-18,Actuarial Science,2307,MO
College of Engineering,Philadelphia,College of Business,Scholarship,9143,2011-10-02,Marketing,2308,PA
Athletics,Denver,College of Engineering,Campus Resource,14497.5,2011-06-25,Engineering-No Major,2309,CO
College of Arts and Sciences,Cedar Rapids,College of Engineering,Scholarship,4693,2011-03-25,Applied Engineering Sciences,2310,IA
Athletics,Houston,College of Engineering,Campus Resource,6449,2011-12-25,Environmental Engineering,2311,TX
Faculty Chair Endowments,Phoenix,College of Natural Science,Endowment,4680,2011-12-22,Biomedical Laboratory Science,2312,AZ
Trustees Fund,Spokane,College of Natural Science,Endowment,5349,2011-06-02,Physical Science Interdepartmental,2313,WA
Faculty Chair Endowments,Denver,College of Political Science,Endowment,6600,2011-01-07,Comparative Cultures and Politics,2314,CO
Campus Recreation,Austin,College of Social Science,Campus Resource,3138,2011-01-24,Geographic Information Science,2315,TX
College of Natural Science,Houston,College of Music,Scholarship,6666,2011-06-29,Music,2316,TX
In-State Scholarship Fund,Cedar Rapids,College of Arts and Sciences,Scholarship,3267,2011-01-22,Art History and Visual Culture,2317,IA
Faculty Chair Endowments,Amarillo,College of Arts and Sciences,Endowment,8921,2011-08-24,Chinese,2318,TX
Parents Association,Charleston,College of Social Science,Campus Resource,7111,2011-10-12,History Education,2319,SC
College of Arts and Sciences,Rochester,College of Business,Scholarship,7753,2011-04-12,Finance,2320,NY
College of Arts and Sciences,Detroit,College of Agriculture and Natural Resources,Scholarship,6132,2011-05-01,Environmental Economics and Policy,2321,MI
University Libraries,Alexandria,College of Arts and Sciences,Campus Resource,8234,2011-09-21,French,2322,VA
College of Music,Grand Rapids,College of Business,Scholarship,8433,2011-07-02,Supply Chain Management,2323,MI
College of Arts and Sciences,Minneapolis,College of Arts and Sciences,Scholarship,6562,2011-03-08,Professional Writing,2324,MN
College of Arts and Sciences,Columbia,College of Nursing,Scholarship,8302,2011-05-21,Prenursing,2325,SC
College of Arts and Sciences,Los Angeles,College of Natural Science,Scholarship,8960,2011-12-27,Predental,2326,CA
Minority Scholarship Fund,Denver,College of Arts and Sciences,Scholarship,12073.5,2011-11-08,Art History and Visual Culture,2327,CO
Faculty Chair Endowments,Jacksonville,College of Nursing,Endowment,3010,2011-02-05,Summer Research Program,2328,FL
Alumni Association,Baton Rouge,College of Natural Science,Campus Resource,8997,2011-05-02,Zoology,2329,LA
Diversity Fund,New York,College of Veterinary Medicine,Endowment,1994,2011-04-05,Preveterinary,2330,NY
University Annual Fund,Durham,College of Social Science,Endowment,6947,2011-10-12,Public Policy,2331,NC
University Annual Fund,Portland,College of Political Science,Endowment,9828,2011-12-30,Social Relations and Policy,2332,OR
University Libraries,Denver,College of Nursing,Campus Resource,9369,2011-12-05,Nursing,2333,CO
College of Social Science,Denver,College of Social Science,Scholarship,10521,2011-04-02,History Education,2334,CO
College of Social Science,Phoenix,College of Communication Arts and Sciences,Scholarship,3392,2011-05-04,Media and Information,2335,AZ
Faculty Chair Endowments,Los Angeles,College of Political Science,Endowment,4125,2011-06-26,Comparative Cultures and Politics,2336,CA
